sighting_date,location
2020-11-09,Dingle Peninsula
2020-11-07,Dingle Peninsula
2020-10-17,Belmullet Peninsula
2020-10-10,Enniskillen
2020-10-08,Enniskillen
2020-10-06,Magheraroarty
2020-10-05,Enniskillen
2020-10-01,Killybegs
2020-09-29,Killala
2020-09-27,Cork City
2020-09-23,Bandon
2020-09-21,Lettermullen
2020-09-20,Leenane
2020-09-17,Cashen
2020-09-16,Mageroarty
2020-09-16,Magheroarty
2020-09-15,Magheraroarty
2020-09-13,Newcastle
2020-09-13,Arklow
2020-09-06,Cahore
2020-09-06,Tralee
2020-09-05,Churchtown
2020-09-03,Cashen
2020-09-03,Tralee
2020-09-02,Killybegs
2020-09-01,Achill Island
2020-08-30,Killybegs
2020-08-23,Crookhaven
2020-08-22,Killybegs
2020-08-22,Annagassen
2020-08-21,Tacumshin
2020-08-16,Fanad
2020-08-14,Nethertown
2020-08-13,Clonakilty
2020-08-11,Carne
2020-08-09,Killybegs
2020-08-09,Crookhaven
2020-08-07,Kilmore Quay
2020-08-06,Sandymount
2020-08-04,Clonakilty Bay
2020-07-29,Rockmarshal
2020-07-27,Limerick City
2020-07-26,Tacumshin
2020-07-25,Spiddal
2020-07-24,Crookhaven
2020-07-23,Magheroarty
2020-07-21,Beale Point
2020-07-07,Dursey Island
2020-07-07,Portmagee
2020-07-05,Cahersiveen
2020-07-01,South Slob
2020-06-30,Portnoo
2020-06-18,Bantry Harbour
2020-05-23,Clonakilty
2020-04-12,Crookhaven
2020-04-10,Crookhaven
2020-04-02,Arklow
2020-03-29,Enniskillen
2020-03-11,Crookhaven
2020-03-06,Enniskillen
2020-03-06,Crookhaven
2020-03-02,Crookhaven
2020-03-02,Arklow
2020-03-01,Enniskillen
2020-03-01,Skerries
2020-02-25,Aughris
2020-02-23,Cruisetown
2020-02-22,Clogher Head
2020-02-21,Carrowniskey (Sruhir) Strand and Bunlough Strand
2020-02-18,Devlin
2020-02-12,Tralee
2020-02-11,Inishbofin
2020-02-11,Tralee
2020-02-10,Tralee
2020-02-08,Tralee
2020-02-08,Tralee
2020-01-21,Tralee
2020-01-18,Tralee
2020-01-17,Tralee
2020-01-16,Tralee
2020-01-15,Arklow
2020-01-10,Tralee
2020-01-04,Tralee
2020-01-03,Cloughy
2019-12-30,Tralee
2019-12-29,Tralee
2019-12-28,Tralee
2019-12-27,Tacumshin
2019-12-24,Nethertown
2019-12-03,Cork Harbour
2019-11-30,Arklow Bridge
2019-11-29,Arklow Bridge
2019-11-28,Magheroarty
2019-11-27,Magheraroarty
2019-11-24,Cashen
2019-11-23,Tory Island
